company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Google,0.0,Healthy,402836000000.0,132170000000.0,129039000000.0,0.0,49085000000.0,0.0,102745000000.0,180016000000.0,415265000000.0,30708000000,164713000000,-37388000000,-120291000000,595281000000,206038000000.0,324055000000,62886000000.0,2670000000.0,308000000.0,0.08245685650978278,0.1182016302842763,0.3280987796522654,0.32032638592380025,1.603124239622366,3.3556687379036365,0.6767157023321759,0.0007645791339403629,0.5443731615825131,0.40888351587246424
Pfizer,0.0,Healthy,62579000000.0,7771000000.0,12393000000.0,0.0,4000000000.0,0.0,36984000000.0,121385000000.0,86476000000.0,1142000000,11704000000,-10304000000,-1351000000,208160000000,42898000000.0,114610000000,11874000000.0,10654000000.0,2671000000.0,0.01921598770176787,0.04625560849252972,0.12417903769635182,0.19803768037200978,0.31646117239887517,2.926,0.3006293235972329,0.04268204988894038,0.5505860876249039,0.18702759711724382
Visa,0.0,Healthy,21846000000.0,20058000000.0,23994000000.0,0.0,20977000000.0,0.0,35048000000.0,61718000000.0,26437000000.0,17164000000,23059000000,-18963000000,708000000,99627000000,37766000000.0,15106000000,3126000000.0,0.0,-29000000.0,0.21055537153582865,0.7934712713242804,0.9181543531996704,1.0,0.6579262725405158,1.0992515612337321,0.2192779065915866,0.0,0.15162556335130034,1.0
Texas Instruments,0.0,Healthy,62900000000.0,5001000000.0,6023000000.0,10083000000.0,14048000000.0,0.0,3159000000.0,18312000000.0,16273000000.0,3225000000,7153000000,-5689000000,-1439000000,34585000000,13750000000.0,52236000000,1963000000.0,4804000000.0,910000000.0,0.40618765360705505,0.8632704479813188,0.07950715421303657,0.09575516693163752,2.264324153213042,0.5091828018223234,1.8187075321671244,0.014467408585055644,1.510365765505277,0.11372019077901431
Nike,0.0,Healthy,62900000000.0,3219000000.0,12393000000.0,19790000000.0,7961000000.0,5000000.0,10566000000.0,82059500000.0,13213000000.0,7464000000,3698000000,-5820000000,-275000000,36579000000,23362000000.0,-727000000,4717000000.0,2715000000.0,910000000.0,0.21763853577189096,0.6025126769091047,0.051176470588235295,0.19702702702702704,0.34999053568048455,0.4645145082276096,1.7195658711282429,0.014467408585055644,-0.019874791547062523,0.058791732909379966
3M,0.0,Healthy,24948000000.0,3250000000.0,4629000000.0,0.0,12602000000.0,0.0,9595000000.0,32986000000.0,4702000000.0,2398000000,2306000000,-4016000000,1350000000,37733000000,16387000000.0,38258000000,3533000000.0,3661000000.0,942000000.0,0.33397821535525934,2.6801361122926415,0.13027096360429694,0.18554593554593554,0.24033350703491402,0.18298682748770037,0.6611719184798452,0.037758537758537755,1.0139135504730608,0.09243225909892576
McDonald's,0.0,Healthy,26885000000.0,8563000000.0,12393000000.0,0.0,39973000000.0,0.0,4361000000.0,82059500000.0,-1791000000.0,774000000,10551000000,-7125000000,-3822000000,59515000000,4163000000.0,70282000000,6515000000.0,61000000.0,1582000000.0,0.6716458035789297,-10.0,0.31850474242142457,0.4609633624697787,2.419399220362302,0.26395316838866234,0.4517348567588003,0.058843221127022505,1.1809123750315047,0.39244932118281567
Apple,0.0,Healthy,62900000000.0,112010000000.0,133050000000.0,195201000000.0,90678000000.0,0.0,165631000000.0,285508000000.0,73733000000.0,35934000000,111482000000,-120686000000,15195000000,359241000000,147957000000.0,-14264000000,39777000000.0,5718000000.0,3933000000.0,0.2524155093655791,1.229815686327696,1.0,1.0,0.6730744848488508,1.2294272039524472,0.1750913732007204,0.06252782193958664,-0.03970593556971504,1.0
Cisco,0.0,Healthy,12844000000.0,10180000000.0,11760000000.0,36790000000.0,24611000000.0,31000000.0,35064000000.0,75448000000.0,46843000000.0,8346000000,14193000000,-15815000000,1733000000,122291000000,34986000000.0,50000000,6701000000.0,3164000000.0,427000000.0,0.20124947870243926,0.5253933351834853,0.7925879788227966,0.9156026160074743,0.4047741273100616,0.576693348502702,0.10502817051132135,0.03324509498598567,0.00040886083195002085,1.0
Starbucks,0.0,Healthy,37184400000.0,1856400000.0,2936600000.0,0.0,16074800000.0,0.0,10210400000.0,40108900000.0,-8096600000.0,6455700000,4747500000,-2298000000,-2485400000,32019700000,7382300000.0,-8272500000,1277500000.0,2185600000.0,542600000.0,0.5020284387423992,-1.9853765778227899,0.049924161745248004,0.0789739783350007,0.46496709237640055,0.2953380446413019,1.1612975761796644,0.014592140790223857,-0.2583565742339872,0.127674508664924
