company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense
Abbott,0.0,Healthy,62900000000.0,6524000000.0,8053000000.0,4397000000.0,12929000000.0,0.0,16496000000.0,82059500000.0,52130000000.0,8522000000,9566000000,-6309000000,-2422000000,86713000000,25996000000.0,49781000000,7929000000.0,6488000000.0,637000000.0
Microsoft,0.0,Healthy,16039000000.0,101832000000.0,128528000000.0,193893000000.0,43151000000.0,0.0,141218000000.0,275524000000.0,343479000000.0,30242000000,136162000000,-51699000000,-72599000000,619003000000,191131000000.0,237731000000,69905000000.0,938000000.0,2935000000.0
Medtronic,0.0,Healthy,62900000000.0,4662000000.0,5955000000.0,3734000000.0,32522500000.0,0.0,12879000000.0,43424000000.0,48024000000.0,2218000000,7044000000,-4361000000,-1937000000,91680000000,23814000000.0,31476000000,6515000000.0,5476000000.0,719000000.0
Procter&Gamble,0.0,Healthy,84284000000.0,15974000000.0,20451000000.0,0.0,23129000000.0,0.0,36058000000.0,72946000000.0,32169000000.0,4239000000,17817000000,-14036000000,-3818000000,125231000000,25392000000.0,129973000000,6185000000.0,7551000000.0,756000000.0
Pepsi,0.0,Healthy,93925000000.0,8240000000.0,11498000000.0,50859000000.0,46351000000.0,4898000000.0,32764000000.0,86852000000.0,20406000000.0,9159000000,12087000000,-4979000000,-6879000000,107399000000,27949000000.0,72788000000,6515000000.0,5845000000.0,1121000000.0
Google,0.0,Healthy,402836000000.0,132170000000.0,129039000000.0,0.0,49085000000.0,0.0,102745000000.0,180016000000.0,415265000000.0,30708000000,164713000000,-37388000000,-120291000000,595281000000,206038000000.0,324055000000,62886000000.0,2670000000.0,308000000.0
Pfizer,0.0,Healthy,62579000000.0,7771000000.0,12393000000.0,0.0,4000000000.0,0.0,36984000000.0,121385000000.0,86476000000.0,1142000000,11704000000,-10304000000,-1351000000,208160000000,42898000000.0,114610000000,11874000000.0,10654000000.0,2671000000.0
Visa,0.0,Healthy,21846000000.0,20058000000.0,23994000000.0,0.0,20977000000.0,0.0,35048000000.0,61718000000.0,26437000000.0,17164000000,23059000000,-18963000000,708000000,99627000000,37766000000.0,15106000000,3126000000.0,0.0,-29000000.0
Texas Instruments,0.0,Healthy,62900000000.0,5001000000.0,6023000000.0,10083000000.0,14048000000.0,0.0,3159000000.0,18312000000.0,16273000000.0,3225000000,7153000000,-5689000000,-1439000000,34585000000,13750000000.0,52236000000,1963000000.0,4804000000.0,910000000.0
Nike,0.0,Healthy,62900000000.0,3219000000.0,12393000000.0,19790000000.0,7961000000.0,5000000.0,10566000000.0,82059500000.0,13213000000.0,7464000000,3698000000,-5820000000,-275000000,36579000000,23362000000.0,-727000000,4717000000.0,2715000000.0,910000000.0
